project,access,agent,timestamp,views
de.wikipedia.org,desktop,automated,2021-03-20,842501
de.wikipedia.org,desktop,automated,2021-03-21,926444
de.wikipedia.org,desktop,automated,2021-03-22,1136300
de.wikipedia.org,desktop,automated,2021-03-23,1227381
de.wikipedia.org,desktop,automated,2021-03-24,1345537
de.wikipedia.org,desktop,automated,2021-03-25,1307493
de.wikipedia.org,desktop,automated,2021-03-26,1084508
de.wikipedia.org,desktop,automated,2021-03-27,905751
de.wikipedia.org,desktop,automated,2021-03-28,906267
de.wikipedia.org,desktop,automated,2021-03-29,1385628
de.wikipedia.org,desktop,automated,2021-03-30,1140224
de.wikipedia.org,desktop,automated,2021-03-31,1283906
de.wikipedia.org,desktop,automated,2021-04-01,1374745
de.wikipedia.org,desktop,automated,2021-04-02,993133
de.wikipedia.org,desktop,automated,2021-04-03,859406
de.wikipedia.org,desktop,automated,2021-04-04,1202389
de.wikipedia.org,desktop,automated,2021-04-05,1460888
de.wikipedia.org,desktop,automated,2021-04-06,1311407
de.wikipedia.org,desktop,automated,2021-04-07,1490011
de.wikipedia.org,desktop,automated,2021-04-08,1374345
de.wikipedia.org,desktop,automated,2021-04-09,1522944
de.wikipedia.org,desktop,automated,2021-04-10,1063899
de.wikipedia.org,desktop,automated,2021-04-11,1441200
de.wikipedia.org,desktop,automated,2021-04-12,2282885
de.wikipedia.org,desktop,automated,2021-04-13,2468975
de.wikipedia.org,desktop,automated,2021-04-14,1462893
de.wikipedia.org,desktop,automated,2021-04-15,1228466
de.wikipedia.org,desktop,automated,2021-04-16,1243943
de.wikipedia.org,desktop,automated,2021-04-17,1125358
de.wikipedia.org,desktop,automated,2021-04-18,1278264
de.wikipedia.org,desktop,automated,2021-04-19,1670735
de.wikipedia.org,desktop,automated,2021-04-20,1689657
de.wikipedia.org,desktop,automated,2021-04-21,1662092
de.wikipedia.org,desktop,automated,2021-04-22,1514018
de.wikipedia.org,desktop,automated,2021-04-23,1306353
de.wikipedia.org,desktop,automated,2021-04-24,1321040
de.wikipedia.org,desktop,automated,2021-04-25,1513957
de.wikipedia.org,desktop,automated,2021-04-26,1396111
de.wikipedia.org,desktop,automated,2021-04-27,1337624
de.wikipedia.org,desktop,automated,2021-04-28,1679574
de.wikipedia.org,desktop,automated,2021-04-29,1631336
de.wikipedia.org,desktop,automated,2021-04-30,2383650
de.wikipedia.org,desktop,automated,2021-05-01,1331126
de.wikipedia.org,desktop,automated,2021-05-02,1119422
de.wikipedia.org,desktop,automated,2021-05-03,1693301
de.wikipedia.org,desktop,automated,2021-05-04,1900826
de.wikipedia.org,desktop,automated,2021-05-05,1484818
de.wikipedia.org,desktop,automated,2021-05-06,1696540
de.wikipedia.org,desktop,automated,2021-05-07,1228823
de.wikipedia.org,desktop,automated,2021-05-08,665513
de.wikipedia.org,desktop,automated,2021-05-09,978768
de.wikipedia.org,desktop,automated,2021-05-10,1078537
de.wikipedia.org,desktop,automated,2021-05-11,1799739
de.wikipedia.org,desktop,automated,2021-05-12,1098154
de.wikipedia.org,desktop,automated,2021-05-13,865510
de.wikipedia.org,desktop,automated,2021-05-14,1019617
de.wikipedia.org,desktop,automated,2021-05-15,934613
de.wikipedia.org,desktop,automated,2021-05-16,1399032
de.wikipedia.org,desktop,automated,2021-05-17,2372501
de.wikipedia.org,desktop,automated,2021-05-18,2130735
de.wikipedia.org,desktop,automated,2021-05-19,1195767
de.wikipedia.org,desktop,automated,2021-05-20,1122128
de.wikipedia.org,desktop,automated,2021-05-21,1085426
de.wikipedia.org,desktop,automated,2021-05-22,741857
de.wikipedia.org,desktop,automated,2021-05-23,968987
de.wikipedia.org,desktop,automated,2021-05-24,1115230
de.wikipedia.org,desktop,automated,2021-05-25,1095336
de.wikipedia.org,desktop,automated,2021-05-26,1424971
de.wikipedia.org,desktop,automated,2021-05-27,1592119
de.wikipedia.org,desktop,automated,2021-05-28,1453940
de.wikipedia.org,desktop,automated,2021-05-29,931420
de.wikipedia.org,desktop,automated,2021-05-30,914544
de.wikipedia.org,desktop,automated,2021-05-31,1195376
de.wikipedia.org,desktop,automated,2021-06-01,1111541
de.wikipedia.org,desktop,automated,2021-06-02,1136597
de.wikipedia.org,desktop,automated,2021-06-03,1097156
de.wikipedia.org,desktop,automated,2021-06-04,1114830
de.wikipedia.org,desktop,automated,2021-06-05,869115
de.wikipedia.org,desktop,automated,2021-06-06,1050873
de.wikipedia.org,desktop,automated,2021-06-07,1351125
de.wikipedia.org,desktop,automated,2021-06-08,1594179
de.wikipedia.org,desktop,automated,2021-06-09,1196315
de.wikipedia.org,desktop,automated,2021-06-10,1141404
de.wikipedia.org,desktop,automated,2021-06-11,1191800
de.wikipedia.org,desktop,automated,2021-06-12,1142649
de.wikipedia.org,desktop,automated,2021-06-13,968579
de.wikipedia.org,desktop,automated,2021-06-14,1224083
de.wikipedia.org,desktop,automated,2021-06-15,1603248
de.wikipedia.org,desktop,automated,2021-06-16,1347980
de.wikipedia.org,desktop,automated,2021-06-17,1943843
de.wikipedia.org,desktop,automated,2021-06-18,1497642
de.wikipedia.org,desktop,automated,2021-06-19,1213914
de.wikipedia.org,desktop,automated,2021-06-20,1240430
de.wikipedia.org,desktop,automated,2021-06-21,1474741
de.wikipedia.org,desktop,automated,2021-06-22,1429375
de.wikipedia.org,desktop,automated,2021-06-23,1221150
de.wikipedia.org,desktop,automated,2021-06-24,1259368
de.wikipedia.org,desktop,automated,2021-06-25,1226171
de.wikipedia.org,desktop,automated,2021-06-26,1112161
de.wikipedia.org,desktop,automated,2021-06-27,978326
de.wikipedia.org,desktop,automated,2021-06-28,1201733
de.wikipedia.org,desktop,automated,2021-06-29,1281447
de.wikipedia.org,desktop,automated,2021-06-30,1308573
de.wikipedia.org,desktop,automated,2021-07-01,1190955
de.wikipedia.org,desktop,automated,2021-07-02,1057851
de.wikipedia.org,desktop,automated,2021-07-03,1250050
de.wikipedia.org,desktop,automated,2021-07-04,920826
de.wikipedia.org,desktop,automated,2021-07-05,1408279
de.wikipedia.org,desktop,automated,2021-07-06,1300365
de.wikipedia.org,desktop,automated,2021-07-07,1197705
de.wikipedia.org,desktop,automated,2021-07-08,1230890
de.wikipedia.org,desktop,automated,2021-07-09,1044585
de.wikipedia.org,desktop,automated,2021-07-10,781062
de.wikipedia.org,desktop,automated,2021-07-11,790426
de.wikipedia.org,desktop,automated,2021-07-12,1154518
de.wikipedia.org,desktop,automated,2021-07-13,1265618
de.wikipedia.org,desktop,automated,2021-07-14,1182650
de.wikipedia.org,desktop,automated,2021-07-15,1316763
de.wikipedia.org,desktop,automated,2021-07-16,1136806
de.wikipedia.org,desktop,automated,2021-07-17,817151
de.wikipedia.org,desktop,automated,2021-07-18,1059116
de.wikipedia.org,desktop,automated,2021-07-19,1501474
de.wikipedia.org,desktop,automated,2021-07-20,1259648
de.wikipedia.org,desktop,automated,2021-07-21,1968418
de.wikipedia.org,desktop,automated,2021-07-22,1648934
de.wikipedia.org,desktop,automated,2021-07-23,994629
de.wikipedia.org,desktop,automated,2021-07-24,806922
de.wikipedia.org,desktop,automated,2021-07-25,901058
de.wikipedia.org,desktop,automated,2021-07-26,1103568
de.wikipedia.org,desktop,automated,2021-07-27,1568494
de.wikipedia.org,desktop,automated,2021-07-28,1426214
de.wikipedia.org,desktop,automated,2021-07-29,1231934
de.wikipedia.org,desktop,automated,2021-07-30,1533646
de.wikipedia.org,desktop,automated,2021-07-31,1654486
de.wikipedia.org,desktop,automated,2021-08-01,1705366
de.wikipedia.org,desktop,automated,2021-08-02,1419085
de.wikipedia.org,desktop,automated,2021-08-03,1247797
de.wikipedia.org,desktop,automated,2021-08-04,1218339
de.wikipedia.org,desktop,automated,2021-08-05,1363800
de.wikipedia.org,desktop,automated,2021-08-06,1143906
de.wikipedia.org,desktop,automated,2021-08-07,893312
de.wikipedia.org,desktop,automated,2021-08-08,876736
de.wikipedia.org,desktop,automated,2021-08-09,1117335
de.wikipedia.org,desktop,automated,2021-08-10,1251598
de.wikipedia.org,desktop,automated,2021-08-11,1057046
de.wikipedia.org,desktop,automated,2021-08-12,1031148
de.wikipedia.org,desktop,automated,2021-08-13,1051593
de.wikipedia.org,desktop,automated,2021-08-14,868894
de.wikipedia.org,desktop,automated,2021-08-15,885490
de.wikipedia.org,desktop,automated,2021-08-16,1052209
de.wikipedia.org,desktop,automated,2021-08-17,1013227
de.wikipedia.org,desktop,automated,2021-08-18,1132050
de.wikipedia.org,desktop,automated,2021-08-19,941271
de.wikipedia.org,desktop,automated,2021-08-20,853061
de.wikipedia.org,desktop,automated,2021-08-21,888476
de.wikipedia.org,desktop,automated,2021-08-22,757494
de.wikipedia.org,desktop,automated,2021-08-23,865866
de.wikipedia.org,desktop,automated,2021-08-24,899263
de.wikipedia.org,desktop,automated,2021-08-25,1002096
de.wikipedia.org,desktop,automated,2021-08-26,1295324
de.wikipedia.org,desktop,automated,2021-08-27,1043989
de.wikipedia.org,desktop,automated,2021-08-28,751137
de.wikipedia.org,desktop,automated,2021-08-29,829270
de.wikipedia.org,desktop,automated,2021-08-30,1408245
de.wikipedia.org,desktop,automated,2021-08-31,1255569
de.wikipedia.org,desktop,automated,2021-09-01,1304128
de.wikipedia.org,desktop,automated,2021-09-02,1077888
de.wikipedia.org,desktop,automated,2021-09-03,1095240
de.wikipedia.org,desktop,automated,2021-09-04,1087749
de.wikipedia.org,desktop,automated,2021-09-05,922640
de.wikipedia.org,desktop,automated,2021-09-06,1063792
de.wikipedia.org,desktop,automated,2021-09-07,1910238
de.wikipedia.org,desktop,automated,2021-09-08,1284188
de.wikipedia.org,desktop,automated,2021-09-09,1297820
de.wikipedia.org,desktop,automated,2021-09-10,1309320
